movie,year,imdb_rating,reelgood_rating
War Horse,2011,7.2,80
Virunga,2014,8.2,80
The Addams Family,1991,6.9,79
Secret Superstar,2017,7.9,79
The Other Guys,2010,6.6,79
Sleepless in Seattle,1993,6.8,79
Always Be My Maybe,2019,6.8,79
The Boy Who Harnessed the Wind,2019,7.6,79
The Danish Girl,2015,7.1,79
Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,79
The Foreigner,2017,7,79
Mirage,2018,7.4,79
The Fundamentals of Caring,2016,7.3,79
On Body and Soul,2017,7.6,79
The Girl with All the Gifts,2016,6.6,79
Stree,2018,7.6,79
Mr. Peabody & Sherman,2014,6.8,79
No Direction Home: Bob Dylan,2005,8.5,79
A Ghost Story,2017,6.9,79
20th Century Women,2016,7.3,79
The Guernsey Literary & Potato Peel Pie Society,2018,7.4,79
Kal Ho Naa Ho,2003,8,79
Trumbo,2015,7.5,79
Hostiles,2017,7.2,79
Swiss Army Man,2016,7,79
The Secret Life of Pets 2,2019,6.5,79
"Lust, Caution",2007,7.5,79
Bill Burr: Paper Tiger,2019,8.2,79
Super Deluxe,2019,8.4,79
Everybody's Everything,2019,7.5,79
Howards End,1992,7.4,79
Underworld,2003,7,78
Kapoor & Sons,2016,7.7,78
I Don't Feel at Home in This World Anymore,2017,6.9,78
What Happened to Monday,2017,6.9,78
The Game Changers,2019,7.9,78
Under the Shadow,2016,6.9,78
Scooby-Doo on Zombie Island,1998,7.8,78
Kon-Tiki,2012,7.2,78
The Endless,2018,6.5,78
Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,78
Mary Poppins Returns,2018,6.7,78
The One I Love,2014,7.1,78
Aquarius,2016,7.5,78
Wildlife,2018,6.8,78
Legend,2015,6.9,78
Guru,2007,7.7,78
Angel Has Fallen,2019,6.4,78
Ocean's Twelve,2004,6.5,78
Wadjda,2012,7.5,78
Defiance,2008,7.2,78
The Perfection,2018,6.1,78
The Night Comes for Us,2018,7,78
The Young Offenders,2016,7.1,78
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,77
Invader ZIM: Enter the Florpus,2019,7.5,77
Krisha,2016,7.2,77
Basic Instinct,1992,7,77
Dave Chappelle: Sticks & Stones,2019,8.5,77
American Factory,2019,7.4,77
Ip Man 3,2015,7.1,77
A Whisker Away,2020,6.7,77
"Waiting for ""Superman""",2010,7.5,77
Happy as Lazzaro,2018,7.6,77
Ace Ventura: Pet Detective,1994,6.9,77
Suburra,2015,7.4,77
Madagascar: Escape 2 Africa,2008,6.6,77
The Hundred-Foot Journey,2014,7.3,77
"What Happened, Miss Simone?",2015,7.6,77
The Distinguished Citizen,2016,7.5,77
The Babysitter,2017,6.3,77
The Fear of 13,2015,7.6,77
Adrift,2018,6.6,77
The Meyerowitz Stories (New and Selected),2017,6.9,77
Mirai,2018,7,77
9,2009,7.1,77
Supersonic,2016,7.9,77
Palm Trees in the Snow,2015,7.4,77
The Death of Mr. Lazarescu,2005,7.9,77
My Best Friend's Wedding,1997,6.3,77
Creep,2014,6.3,76
My Week with Marilyn,2011,6.9,76
The Promise,2016,6.4,76
Blood Father,2016,6.4,76
Creep 2,2017,6.4,76
The Highwaymen,2019,6.9,76
The Witch: Part 1. The Subversion,2018,7.1,76
Chasing Coral,2017,8.1,76
1922,2017,6.3,76
The Wolf's Call,2019,6.9,76
American Honey,2016,7,76
Private Life,2018,7.2,76
Rush: Beyond the Lighted Stage,2010,8.4,76
Dumplin',2018,6.6,76
The White Helmets,2016,7.5,76
A Shaun the Sheep Movie: Farmageddon,2019,6.9,76
The Ritual,2017,6.3,76
The Pixar Story,2007,7.8,76
Superman Returns,2006,6,76
For the Love of Spock,2016,7.6,76
Olympus Has Fallen,2013,6.5,76
Veronica,2017,6.2,76
The Angry Birds Movie 2,2019,6.4,76
Magic Mike,2012,6.1,76
Cargo,2017,6.3,76
Adam Sandler: 100% Fresh,2018,7.6,76
Delhi Belly,2011,7.6,76
22-Jul,2018,6.8,76
The Spiderwick Chronicles,2008,6.5,76
Tell Me Who I Am,2019,7.6,76
Louis C.K. 2017,2017,7.6,76
Blue Jay,2016,7.3,76
The Boys in the Band,2020,6.8,76
Richard Pryor: Live in Concert,1979,8.2,75
The Sky Is Pink,2019,7.5,75
Udta Punjab,2016,7.8,75
Bulbbul,2020,6.6,75
The Christmas Chronicles,2018,7.1,75
It Comes at Night,2017,6.2,75
Ittefaq,2017,7.2,75
Catfish,2010,7.1,75
"Extremely Wicked, Shockingly Evil and Vile",2019,6.6,75
Undefeated,2011,7.7,75
Unrest,2017,7.7,75
Us and Them,2018,7.3,75
Da 5 Bloods,2020,6.5,75
Triple Frontier,2019,6.4,75
Bright,2017,6.3,75
Sour Grapes,2016,7.2,75
"Hail, Caesar!",2016,6.3,75
The Edge of Democracy,2019,7.1,75
Hey Arnold! The Jungle Movie,2017,7.6,75
Calibre,2018,6.8,75
Raising Victor Vargas,2002,7.2,75
Kill the Messenger,2014,6.9,75
The Resistance Banker,2018,6.9,75
Last Breath,2019,7.7,75
The Interview,1998,7.1,75
Crip Camp: A Disability Revolution,2020,7.8,75
Team Foxcatcher,2016,7.3,75
Williams,2017,7.6,75
Being Elmo: A Puppeteer's Journey,2011,7.6,75
The Battered Bastards of Baseball,2014,8,75
Paddleton,2019,7.2,75
Mary and the Witch's Flower,2017,6.8,75
