movie,year,imdb_rating,reelgood_rating
Sierra Burgess Is a Loser,2018,5.8,65
System Crasher,2019,7.8,65
Brain on Fire,2017,6.6,65
Triple Threat,2019,5.6,65
Jerry Seinfeld: 23 Hours to Kill,2020,6.6,65
A Gray State,2017,6.2,65
Michelle Wolf: Joke Show,2019,7.1,65
Homecoming: A Film by Beyonc?,2019,7.4,65
"Live Twice, Love Once",2019,7.2,65
The Discovery,2017,6.3,65
Rising Phoenix,2020,8.1,65
Qui?n te cantar?,2018,7,65
Lovesong,2017,6.3,65
The Debt Collector,2018,5.8,65
Underdogs,2013,6.5,65
2 States,2014,6.9,65
14 Blades,2010,6.3,65
Freak Show,2018,6.6,65
Aval,2017,6.8,65
Hasan Minhaj: Homecoming King,2017,8.3,65
The Rugrats Movie,1998,5.9,65
Violet Evergarden: Eternity and the Auto Memory Doll,2019,7.4,65
Strange But True,2019,5.8,65
Barry,2016,5.8,65
John Mulaney: The Comeback Kid,2015,8,65
The Great Hack,2019,7,65
Iliza Shlesinger: Elder Millennial,2018,7.2,65
The Lost Husband,2020,6,65
The Paramedic,2020,5.6,65
Candy Jar,2018,5.8,65
Mitt,2014,6.9,65
Mean Dreams,2016,6.3,65
Manson Family Vacation,2015,5.8,65
E-Team,2014,7.1,65
The Ballad of Lefty Brown,2017,6.3,65
Occupation,2018,5,65
Marc Maron: Too Real,2017,7.2,64
Buster's Mal Heart,2017,6.1,64
The Laundromat,2019,6.3,64
Eli,2019,5.7,64
My Suicide,2009,7.1,64
Goosebumps 2: Haunted Halloween,2018,5.6,64
28 Days,2000,6.1,64
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.8,64
The Cloverfield Paradox,2018,5.5,64
Menashe,2017,6.5,64
10 Years,2011,6.1,64
A Little Chaos,2015,6.5,64
Rustom,2016,7.1,64
Agneepath,1990,7.7,64
The Legend of 420,2017,6.7,64
Una,2017,6.2,64
Feminists: What Were They Thinking?,2018,6.9,64
To the Bone,2017,6.8,64
Secret in Their Eyes,2015,6.3,64
Ten Years,2015,6.7,64
Poseidon,2006,5.7,64
Alone in Berlin,2016,6.5,64
Go!,2020,5.9,64
Siren,2016,5.3,64
Don't Be Afraid of the Dark,2010,5.6,64
Bethany Hamilton: Unstoppable,2019,7.3,64
Anon,2018,6.1,64
Clive Davis: The Soundtrack of Our Lives,2017,7.5,64
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.6,64
We Are Your Friends,2015,6.2,64
Sand Castle,2017,6.3,64
The Rum Diary,2011,6.2,64
Class Rank,2017,6.4,64
The Breaker Upperers,2018,5.9,64
Children of the Sea,2019,6.5,64
Ellen DeGeneres: Relatable,2018,6.5,64
Beyond Skyline,2017,5.3,64
Set It Up,2018,6.5,64
Bill Burr: Let It Go,2010,8.4,64
Khoobsurat,2014,6.4,64
Afterschool,2008,6.1,64
David Brent: Life on the Road,2016,6.3,64
Nobody Speak: Trials of the Free Press,2017,6.5,64
The Oath,2016,6.4,64
Pok?mon the Movie: The Power of Us,2018,6.3,64
Hannibal Buress: Comedy Camisado,2016,6.6,64
Message from the King,2016,6.4,63
Monty Python Live at the Hollywood Bowl,1982,7.9,63
A Bad Moms Christmas,2017,5.6,63
Someone Great,2019,6.2,63
Wildling,2018,5.5,63
Like Father,2018,6.1,63
The Ottoman Lieutenant,2017,6.6,63
Simon Killer,2012,6.3,63
Bill Nye: Science Guy,2017,6.1,63
Mercury 13,2018,6.8,63
The Smurfs,2011,5.4,63
1000 Rupee Note,2016,7.3,63
The Bounty Hunter,2010,5.6,63
The Occupant,2020,6.3,63
Vizontele,2001,8,63
Coneheads,1993,5.3,63
6 Balloons,2018,5.8,63
How to Be a Latin Lover,2017,6,63
Kabhi Haan Kabhi Naa,1994,7.8,63
Love Off the Cuff,2017,6.5,63
"Faith, Hope & Love",2019,6.2,63
The Prince & Me,2004,5.9,63
The Golem,2018,5.6,63
Offering to the Storm,2020,6.1,63
Lakshya,2004,7.9,63
#Alive,2020,6.2,63
Hot Girls Wanted,2015,6.1,63
Don,2006,7.2,63
18 Presents,2020,6.7,63
Wazir,2016,7.1,63
Gantz:O,2016,7.1,63
Naruto the Movie: Ninja Clash in the Land of Snow,2004,6.7,63
Karthik Calling Karthik,2010,7,63
The Land of Steady Habits,2018,6.2,63
My Big Night,2015,6,63
Happy Anniversary,2018,5.7,63
Death at a Funeral,2010,5.7,63
Been So Long,2018,5.4,63
EMO the Musical,2017,6.1,63
Toilet: A Love Story,2017,7.2,63
The Polka King,2017,5.9,63
The Smurfs 2,2013,5.3,63
In the Tall Grass,2019,5.4,63
Pihu,2018,6.7,63
Ghosts of Girlfriends Past,2009,5.8,63
War on Everyone,2016,5.8,63
Falling Inn Love,2019,5.6,63
War Machine,2017,6,62
Jonathan,2018,5.9,62
Forgotten,2017,7.4,62
Reversing Roe,2018,7.4,62
Panipat,2019,5.4,62
Dream Big: Engineering Our World,2017,6.4,62
Time Share,2018,6,62
Lost in London,2017,6.2,62
Kabali,2016,6.2,62
Jaane Tu... Ya Jaane Na,2008,7.5,62
Get Santa,2014,6.2,62
Punjab 1984,2014,8.5,62
What the Health,2017,7.4,62
Amanda Knox,2016,6.9,62
Raising Cain,1992,6.1,62
City of Joy,2016,7.4,62
The B-Side: Elsa Dorfman's Portrait Photography,2017,6.7,62
Athlete A,2020,7.7,62
The Last Days of Chez Nous,1992,6.5,62
Hum Aapke Hain Koun..!,1994,7.5,62
Magic Carpet Ride,2005,7.4,62
Katt Williams: Great America,2018,6.1,62
Naruto Shippuden the Movie,2007,6.9,62
Wake Up Sid,2009,7.6,62
John Mulaney & The Sack Lunch Bunch,2019,7.4,62
Burning Sands,2017,6,62
Sadece Sen,2014,7.3,62
Sergio,2020,6.1,62
Hotel for Dogs,2009,5.4,62
Orbiter 9,2017,5.9,62
Pok?mon: Mewtwo Strikes Back - Evolution,2019,5.7,62
Cirque du Freak: The Vampire's Assistant,2009,5.8,62
Jenny Slate: Stage Fright,2019,5.8,62
Elizabeth Harvest,2018,5.8,62
An Interview with God,2018,5.7,62
The Art of the Steal,2013,6.3,62
Louis C.K.: Live at The Comedy Store,2015,7.9,62
Room on the Broom,2012,7.6,62
Deidra & Laney Rob a Train,2017,6.1,62
Bo Burnham: Make Happy,2016,8.4,62
"Roxanne, Roxanne",2017,6.2,62
Bo Burnham: What.,2013,8.5,62
The Tiger Hunter,2017,5.9,62
The Package,2018,5.5,62
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,7.6,62
Nights in Rodanthe,2008,6,62
I'll See You in My Dreams,2015,6.7,62
Ibiza,2018,5.2,62
Awe!,2018,7.8,62
Tau,2018,5.8,62
Q Ball,2019,6.8,62
The Outsider,2018,6.3,62
All Day and a Night,2020,5.8,62
Rock On!!,2008,7.7,61
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,7,61
Marco Polo: One Hundred Eyes,2015,7.8,61
The Blue Elephant Part 2,2019,8.2,61
The Bleeding Edge,2018,7.7,61
Bad News Bears,2005,5.8,61
Holiday in the Wild,2019,6.1,61
Lost Girls,2020,6.1,61
Trophy,2016,7.3,61
Jerry Seinfeld: I'm Telling You for the Last Time,1998,7.9,61
The Skin of the Wolf,2018,5.8,61
Kevin Hart: Irresponsible,2019,6.5,61
Money Heist: The Phenomenon,2020,7.5,61
Norman Lear: Just Another Version of You,2016,7.3,61
In Darkness,2018,5.8,61
Juanita,2019,5.9,61
Naruto Shippuden the Movie: Bonds,2008,7,61
The Heartbreak Kid,2007,5.8,61
Pee Mak Phrakanong,2013,7.3,61
Can't Help Falling in Love,2017,7.1,61
The Bad Education Movie,2015,5.8,61
The Crimes That Bind,2020,6.7,61
The Force,2017,6.8,61
7:19,2016,6,61
13 Cameras,2015,5.1,61
Irreplaceable You,2018,6.4,61
Honeytrap,2015,5.9,61
Choked: Paisa Bolta Hai,2020,5.8,61
Revolt,2017,5.2,61
Dennis the Menace,1993,5.6,61
Seventh Son,2014,5.5,61
Priest,2011,5.7,61
The Body Remembers When the World Broke Open,2019,6.8,61
Naruto the Movie: Legend of the Stone of Gelel,2005,6.6,61
The Silence,2019,5.3,61
Sleepless,2017,5.6,61
Human Nature,2019,7.7,61
Kiss the Ground,2020,8.3,61
Jim Gaffigan: Mr. Universe,2012,7.8,61
A Very Murray Christmas,2015,5.5,61
Anaconda,1997,4.8,61
Secret,2007,7.5,61
The Lovers,2017,6,61
100 Meters,2016,7.5,61
For Colored Girls,2010,6.1,61
Zero,2018,5.4,61
Satan & Adam,2018,7.4,61
The 4th Company,2016,6.2,61
Iron Fists and Kung Fu Kicks,2019,6.6,61
Dream Boat,2017,5.3,61
The Green Inferno,2013,5.3,61
Naruto Shippuden the Movie: Blood Prison,2011,7.3,61
The Warriors Gate,2016,5.4,61
Sprinter,2019,6.2,61
The Student,2016,6.8,61
Dean,2016,6.2,61
Lingua Franca,2020,6.1,61
Frank & Lola,2016,5.9,61
Closed Circuit,2013,6.2,61
The Young Messiah,2016,5.6,61
Hop,2011,5.4,61
The Super,2018,5.9,61
"Frankenstein's Monster's Monster, Frankenstein",2019,6.1,61
Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.5,61
Fullmetal Alchemist,2017,5.2,61
Pok?mon the Movie: I Choose You!,2017,6.3,61
Results,2015,5.4,60
The Tree of Blood,2018,6.4,60
A Tale of Love and Darkness,2015,6,60
Ajji,2017,6.9,60
Chalte Chalte,2003,6.6,60
Tread,2020,7.1,60
Arthur,2011,5.7,60
Arjun: The Warrior Prince,2012,6.8,60
Struggle: The Life and Lost Art of Szukalski,2018,8,60
Susanne Bartsch: On Top,2017,6.6,60
The Nutcracker and the Four Realms,2018,5.5,60
Neal Brennan: 3 Mics,2017,7.9,60
Come and Find Me,2016,5.7,60
The Car,1977,6.2,60
A Family Man,2017,6.5,60
Aurora,2011,6.6,60
Happy New Year,2014,5,60
National Parks Adventures,2016,7,60
Gurgaon,2017,6.6,60
Catfight,2017,5.8,60
Habibie & Ainun,2012,7.6,60
6 Years,2015,5.6,60
Aftermath,2017,5.6,60
Hari Kondabolu: Warn Your Relatives,2018,6.4,60
High Flying Bird,2019,6.2,60
Close,2019,5.7,60
WHAT DID JACK DO?,2017,6.5,60
Jim Gaffigan: Obsessed,2014,7.6,60
Jim Gaffigan: Beyond the Pale,2006,8,60
The Bad Batch,2017,5.3,60
Toro,2016,5.9,60
The Invisible Guardian,2017,6.4,60
The Man Without Gravity,2019,6.4,60
Jeff Dunham: Controlled Chaos,2011,7.5,60
American Son,2019,5.7,60
God's Not Dead,2014,4.7,60
Don't Go Breaking My Heart,2011,6.5,60
She's Dating the Gangster,2014,7.2,60
Mine,2016,5.9,60
Berlin Calling,2008,7.3,60
Don,1978,7.8,60
Four Sisters And A Wedding,2013,7.3,60
Await Further Instructions,2018,4.8,60
Bheeshma,2020,6.5,60
Yuva,2004,7.4,60
"Alexandria, Again and Forever",1990,6.7,60
Belgica,2016,6.7,60
OtherLife,2017,6.3,60
Equals,2015,6.1,60
Bert Kreischer: Secret Time,2018,7.4,60
House at the End of the Street,2012,5.6,60
Pandora,2016,6.7,60
For Love or Money,1993,6.2,60
Erased,2012,6.1,59
Serious Men,2020,7,59
Veronica,2017,5.8,59
Goon: Last of the Enforcers,2017,5.8,59
My Entire High School Sinking Into the Sea,2016,6.1,59
"Love, Guaranteed",2020,5.5,59
The Magician,2006,7.4,59
Mersal,2017,7.6,59
Death Note,2017,4.5,59
The Do-Over,2016,5.7,59
Tom Segura: Mostly Stories,2016,7.6,59
No Game No Life: Zero,2017,7.5,59
Between Worlds,2018,4.2,59
A Christmas Prince: The Royal Wedding,2018,5.3,59
Mindhorn,2016,6.3,59
Goldie,2020,5.3,59
Armed to the Teeth,2018,8.2,59
Mucize,2015,7.7,59
Becoming,2020,6.8,59
Katt Williams: The Pimp Chronicles Pt. 1,2006,7.7,59
Ghost in the Shell Arise - Border 1: Ghost Pain,2013,7.2,59
The Bar,2017,6.3,59
Jim Jefferies: Bare,2014,8.1,59
Inhuman Kiss,2019,6.5,59
Take Me,2017,6.1,59
Trailer Park Boys: Countdown to Liquor Day,2009,7.4,59
See You Yesterday,2019,5.1,59
The Sleepover,2020,5.5,59
National Security,2003,5.7,59
Taylor Tomlinson: Quarter-Life Crisis,2020,7.4,59
An Evening with Beverly Luff Linn,2018,5.7,59
Skins,2017,6.3,59
Double World,2020,6.1,59
Isi & Ossi,2020,6.4,59
Chelsea Peretti: One of the Greats,2014,7,59
The Story of Us,1999,6,59
Jeff Dunham: Jeff Dunham's Very Special Christmas Special,2008,7.5,59
Jeff Dunham: Arguing with Myself,2006,8,59
Naruto Shippuden the Movie: The Lost Tower,2010,7,59
Duck Butter,2018,5.3,59
Masoom,1983,8.4,59
Aamir,2008,7.7,59
Beyond the Clouds,2018,7,59
Jim Gaffigan: King Baby,2009,7.8,59
The Five Venoms,1978,7.1,59
Superl?pez,2018,5.3,59
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7.7,59
Kevin Hart's Guide to Black History,2019,5.5,59
The Outcasts,2017,5.5,59
My Ex & Whys,2017,6.2,59
The Motive,2017,6.5,59
"Fireworks, Should We See it from the Side or the Bottom?",2017,5.5,59
Shepherds and Butchers,2017,6.8,59
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.5,59
The Rachel Divide,2018,6.2,59
Teefa in Trouble,2018,7.2,59
A Plastic Ocean,2016,8,59
Unicorn Store,2017,5.5,59
Rowdy Rathore,2012,5.7,59
Kaminey,2009,7.4,59
Naruto the Movie: Guardians of the Crescent Moon Kingdom,2006,6.5,59
5 Flights Up,2014,6.2,59
Jeremiah Tower: The Last Magnificent,2016,6.5,59
Eyyvah Eyvah,2010,7,59
I Will Follow,2010,5.9,59
Mute,2018,5.4,59
Rim of the World,2019,5.2,59
Christmas Inheritance,2017,5.7,59
Aziz Ansari: Buried Alive,2013,7.3,59
Otherhood,2019,6.1,59
The Night Clerk,2020,5.5,58
The Awakening of Motti Wolkenbruch,2018,6.6,58
The Seven Deadly Sins: Prisoners of the Sky,2018,7.1,58
Septembers of Shiraz,2015,6.1,58
Steel Rain,2017,7.1,58
A Haunted House,2013,5,58
Zookeeper,2011,5.2,58
Bhoot,2003,6.5,58
Skiptrace,2016,5.7,58
Crazy Beautiful You,2015,7.1,58
Bana Masal Anlatma,2015,7.5,58
Chopsticks,2019,6.5,58
Hazaaron Khwaishein Aisi,2003,7.9,58
The Nut Job,2014,5.7,58
Tune in for Love,2019,7.1,58
The Hurricane Heist,2018,5.1,58
Initial D,2005,6.4,58
Sadma,1983,8.4,58
3 Generations,2016,5.9,58
A Fall From Grace,2020,5.8,58
Amar Akbar Anthony,1977,7.5,58
The Island,2018,6.3,58
Uyare,2019,8.1,58
Miss Representation,2011,7.6,58
The Ivory Game,2016,7.9,58
Revenger,2018,5.7,58
Hostages,2017,6.1,58
Miracle in Cell No. 7,2019,7.5,58
Angamaly Diaries,2017,8,58
Acts of Vengeance,2017,5.7,58
Ronny Chieng: Asian Comedian Destroys America!,2019,7.4,58
Sinister 2,2015,5.3,58
Cuties,2020,2.9,58
Billu,2009,6.2,58
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,7.2,58
Ali Wong: Baby Cobra,2016,7.5,58
Do Dooni Chaar,2010,7.6,58
Kannum Kannum Kollaiyadithaal,2020,7.7,58
Sleepover,2004,5.4,58
Riphagen The Untouchable,2016,7.1,58
Come Sunday,2018,6,58
Chillar Party,2011,7.4,58
Savage Dog,2017,4.9,58
At First Light,2018,5.5,58
Straight Up,2019,6.7,58
Harishchandrachi Factory,2009,8.4,58
The Tribes of Palos Verdes,2017,5.8,58
Blind Detective,2013,6.5,58
The Climb,2017,6.9,58
Kevin Hart: Seriously Funny,2010,7.6,58
Dilwale,2015,5.2,58
iBoy,2017,6,58
Inuyasha the Movie: Affections Touching Across Time,2001,7.3,58
Seal Team Six: The Raid on Osama Bin Laden,2012,5.7,58
I Am Not an Easy Man,2018,6.3,58
Radio Rebel,2012,5.9,58
Umrika,2015,6.6,58
Semana Santa,2015,6,58
Raajneeti,2010,7.1,58
